(Thousands of Dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Direct expenditure,"1,692,260,977","23,075,269","10,321,860","30,865,873","16,998,888","224,385,815","26,971,950","26,480,595","7,865,452","67,516,186","35,651,377","12,056,921","6,967,673","59,716,973","29,510,975","17,910,357","13,865,291","30,366,803","25,480,078","8,041,319","34,361,147","54,488,860","49,292,114","33,451,036","16,856,220","26,236,978","5,989,503","8,524,386","10,799,900","7,150,019","60,392,564","15,043,863","132,602,950","40,539,361","6,042,062","68,146,798","20,287,505","28,387,104","76,241,847","7,329,615","25,212,573","4,296,396","24,718,851","113,818,147","15,772,916","4,956,871","40,465,383","41,035,383","11,985,883","29,198,462","4,586,625"
Current operation,"1,184,405,722","16,611,118","7,146,868","23,704,082","13,345,202","152,385,408","18,313,755","17,605,393","5,968,905","49,167,712","24,326,941","9,461,147","5,073,122","35,295,223","22,068,097","12,530,936","10,138,807","21,799,777","16,717,113","6,224,554","23,861,626","38,756,837","36,195,918","24,077,410","12,414,657","19,120,822","4,495,142","6,498,775","7,041,458","5,413,745","38,790,201","11,320,480","93,803,135","29,060,497","3,947,312","43,074,039","14,197,207","20,590,188","52,022,745","4,992,681","18,365,614","2,789,507","19,016,119","80,278,534","11,514,441","3,997,939","29,682,859","28,020,159","8,986,601","20,999,303","3,195,611"
Capital outlay,"128,605,961","1,810,752","1,505,040","1,596,599","1,101,042","10,333,559","1,836,545","2,305,066","692,112","6,473,452","3,130,936","950,020","480,348","5,632,178","2,224,190","2,058,930","1,411,413","2,432,896","2,423,949","473,930","3,147,304","4,562,236","2,287,317","2,279,139","1,170,296","1,277,634","366,259","1,044,511","626,461","450,651","4,748,484","860,818","9,541,591","3,806,752","1,016,817","4,912,026","2,267,941","1,392,147","8,046,045","459,024","1,623,607","765,951","1,565,050","11,166,483","1,511,457","324,799","3,034,096","2,951,903","912,680","1,159,267","454,258"
Insurance benefits and repayments,"285,400,474","3,541,484","1,329,941","4,266,980","1,936,105","49,297,544","5,483,219","4,514,111","678,409","8,892,649","6,372,959","1,385,193","1,113,302","14,375,834","2,881,905","2,520,429","1,892,459","4,396,382","4,480,757","997,403","4,344,038","6,665,039","7,769,172","5,353,191","2,645,918","4,537,344","944,515","740,452","2,578,586","762,071","13,139,220","2,309,050","21,598,629","5,916,490","747,049","17,200,064","2,819,735","5,392,924","12,163,270","1,272,050","3,423,167","538,569","2,618,534","17,890,912","1,787,517","378,098","4,870,598","6,987,148","1,497,137","5,325,699","827,223"
Assistance and subsidies,"46,723,289","773,560","155,125","658,760","485,634","5,182,384","478,980","563,907","327,965","1,987,559","1,185,669","139,811","146,131","1,178,148","1,357,840","593,571","248,499","1,083,914","978,447","162,784","1,861,189","1,278,165","1,372,717","1,149,595","362,632","531,621","72,585","180,754","426,281","194,596","1,534,401","255,283","2,011,000","1,177,377","252,276","1,678,516","573,921","550,349","2,503,716","166,674","1,145,397","90,801","1,253,017","2,966,373","719,439","153,332","1,772,716","1,636,435","303,787","785,391","74,265"
Interest on debt,"47,125,531","338,355","184,886","639,452","130,905","7,186,920","859,451","1,492,118","198,061","994,814","634,872","120,750","154,770","3,235,590","978,943","206,491","174,113","653,834","879,812","182,648","1,146,990","3,226,583","1,666,990","591,701","262,717","769,557","111,002","59,894","127,114","328,956","2,180,258","298,232","5,648,595","578,245","78,608","1,282,153","428,701","461,496","1,506,071","439,186","654,788","111,568","266,131","1,515,845","240,062","102,703","1,105,114","1,439,738","285,678","928,802","35,268"
Exhibit: Salaries and wages,"265,784,140","4,760,946","1,718,737","3,973,399","3,006,878","33,914,171","5,242,693","4,576,230","1,405,778","9,126,839","6,354,544","3,233,075","1,422,187","8,200,310","4,425,938","3,425,661","2,849,650","4,323,891","4,021,668","1,055,553","5,346,953","6,890,768","9,534,602","5,439,188","2,599,943","3,926,595","1,081,620","1,538,887","1,637,787","1,113,709","10,081,203","2,511,479","17,719,606","7,601,593","1,082,995","8,055,942","3,356,066","4,233,401","9,995,674","1,285,467","3,939,086","750,526","3,962,154","18,568,924","3,336,454","906,270","7,427,466","7,982,436","1,847,312","4,272,164","719,723"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"2,224,959,623","29,747,318","12,359,938","41,770,243","22,881,728","327,898,210","34,282,697","31,918,825","9,377,257","87,924,052","47,487,009","12,191,854","9,244,971","77,826,111","39,222,656","23,381,086","18,664,921","35,147,233","31,246,084","9,330,098","43,759,423","63,569,367","70,110,424","46,594,683","22,108,192","32,409,714","7,083,841","10,941,892","15,229,381","7,610,619","72,064,882","20,029,869","194,242,569","53,398,099","8,153,778","86,698,954","24,746,427","33,938,757","96,292,444","8,566,489","31,606,505","5,071,455","32,336,553","145,581,592","19,284,874","6,728,461","52,932,360","52,909,566","14,371,196","38,230,825","6,454,141"
General expenditure,"1,905,865,863","25,884,491","10,797,248","37,473,645","20,945,623","277,247,872","28,786,175","26,645,799","8,561,860","78,769,484","41,028,179","10,806,661","8,011,602","63,450,277","36,340,377","20,660,285","16,772,462","30,719,403","26,756,017","8,309,131","38,425,621","53,648,401","61,516,323","40,770,252","19,183,062","27,872,370","6,039,586","10,201,440","12,600,276","6,313,140","55,934,096","17,720,819","159,527,135","47,300,146","7,316,466","68,684,961","21,023,555","28,145,254","82,309,953","7,131,374","26,615,830","4,532,886","29,716,590","127,680,607","17,239,697","6,289,542","47,348,968","45,683,897","12,786,244","32,864,656","5,476,125"
Intergovernmental expenditure,"532,698,646","6,672,049","2,038,078","10,904,370","5,882,840","103,512,395","7,310,747","5,438,230","1,511,805","20,407,866","11,835,632","134,933","2,277,298","18,109,138","9,711,681","5,470,729","4,799,630","4,780,430","5,766,006","1,288,779","9,398,276","9,080,507","20,818,310","13,143,647","5,251,972","6,172,736","1,094,338","2,417,506","4,429,481","460,600","11,672,318","4,986,006","61,639,619","12,858,738","2,111,716","18,552,156","4,458,922","5,551,653","20,050,597","1,236,874","6,393,932","775,059","7,617,702","31,763,445","3,511,958","1,771,590","12,466,977","11,874,183","2,385,313","9,032,363","1,867,516"
Direct expenditure,"1,373,167,217","19,212,442","8,759,170","26,569,275","15,062,783","173,735,477","21,475,428","21,207,569","7,050,055","58,361,618","29,192,547","10,671,728","5,734,304","45,341,139","26,628,696","15,189,556","11,972,832","25,938,973","20,990,011","7,020,352","29,027,345","44,567,894","40,698,013","27,626,605","13,931,090","21,699,634","4,945,248","7,783,934","8,170,795","5,852,540","44,261,778","12,734,813","97,887,516","34,441,408","5,204,750","50,132,805","16,564,633","22,593,601","62,259,356","5,894,500","20,221,898","3,757,827","22,098,888","95,917,162","13,727,739","4,517,952","34,881,991","33,809,714","10,400,931","23,832,293","3,608,609"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
