(Thousands of Dollars),Total revenue,,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,,Current charge,Miscellaneous general revenue,,Utility revenue,Liquor stores revenue,Insurance trust revenue,,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,,"General expenditure, by function:",Education,Public welfare,Hospitals,Health,Highways,,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,,Interest on general debt,Other and unallocable,,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,,Debt at end of fiscal year,,Cash and security holdings
Georgia,45506660,,39128270,13569749,19732308,5256592,2299273,633573,9678524,1000536,863810,,3520991,2305222,,5952,,6372438,,46849498,11088286,35761212,24507958,2491375,7044835,1067045,649999,6164234,,46849498,39769006,11088286,28680720,,,17396573,12197038,1189939,1374371,1956088,,373798,1484986,514200,206090,894526,,649999,1531398,,35657,,7044835,,13247675,,103083887
Hawaii,13065465,,11813718,2697519,6485563,2992707,1089489,252431,1987915,72249,90772,,1715453,915183,,,,1251747,,12337211,267863,12069348,9256124,1004240,1281912,183559,343513,3160140,,12337211,11047776,267863,10779913,,,3232483,2480019,870397,538736,549795,,38254,217301,136924,99041,487579,,343513,2053734,,7523,,1281912,,8757730,,20516627
Idaho,9346857,,7925198,2590690,3976017,1463802,477478,333144,1478368,217082,6143,,849259,509232,,,145953,1275706,,8873870,2156220,6717650,4860097,525699,1047415,137767,146672,1322323,,8873870,7713895,2156220,5557675,,,2817674,2304073,53417,174727,710207,,58108,273000,240186,35345,324366,,146672,576120,,,112560,1047415,,3685377,,23151748
Illinois,83631798,,69801594,19732809,40821385,10489152,7152130,2730407,15913816,4054267,481613,,4791951,4455449,,,,13830204,,86096116,18558946,67537170,39466997,5171794,18174600,1333844,3389935,8343690,,86096116,67921516,18558946,49362570,,,17895093,22671203,1403131,2301367,6190508,,437999,1458695,306754,287312,1475485,,3389935,10104034,,0,,18174600,,64212776,,180338182
Indiana,38919794,,35036133,11689694,17605651,7279604,3532267,641788,5232977,903572,15443,,3531574,2209214,,,,3883661,,37579376,9548136,28031240,20660808,2163562,3029662,1170064,1007144,4368595,,37579376,34549336,9548136,25001200,,,14865806,11501010,158234,569675,2581379,,229327,681831,343124,81929,640839,,1007144,1889038,,378,,3029662,,22463710,,58168989
Iowa,23478150,,20317970,6548007,9187483,3040627,1228001,874778,3471617,463238,109222,,3263620,1318860,,0,280834,2879346,,22833954,5298032,17535922,12307776,2040995,2388037,582635,216479,3346726,,22833954,20253628,5298032,14955596,,,7118769,6223107,1751476,261541,2149455,,102012,293600,305572,34182,576090,,216479,1221345,,0,192289,2388037,,6223008,,43292850
Kansas,17949994,,16121805,3947193,7884091,3052986,924820,378193,2262951,458306,806835,,3231057,1059464,,,,1828189,,18043291,4849983,13193308,9755053,1131155,1972913,158368,175819,2712132,,18043291,16070378,4849983,11220395,,,6999820,3986056,1712018,131796,1298356,,101829,360900,231629,38259,430112,,175819,603784,,,,1972913,,7581462,,23972103
Kentucky,30059829,,26633530,10559736,11597983,3267331,2183120,487834,4069501,751910,838287,,3419193,1056618,,0,,3426299,,33376672,4709948,28666724,20382646,2445191,4263050,923704,652133,4191368,,33376672,29113622,4709948,24403674,,,9681710,10918824,1422065,643581,2732030,,195408,532798,338503,99791,882241,,652133,1014538,,0,,4263050,,13784882,,42027997
Louisiana,28101183,,23461674,9918105,9696730,2926783,2358843,386358,2983104,253650,787992,,1838343,2008496,,12287,,4627222,,31206858,5726498,25480360,17127490,2016566,4621061,860762,854481,3974642,,31206858,26577347,5726498,20850849,,,8938108,8365742,480411,538631,1611669,,369059,701803,789414,364241,985127,,854481,2578661,,8450,,4621061,,17616233,,62790817
Maine,8949059,,8008767,2784359,4064075,1280298,718753,268026,1533130,168966,94902,,680704,479629,,8744,156169,775379,,8955660,1254898,7700762,5859434,464373,1036218,136999,203738,1058695,,8955660,7788200,1254898,6533302,,,2081683,2917467,51676,441237,643931,,79612,155673,175377,7616,295798,,203738,734392,,20587,110655,1036218,,5011671,,18629874
Maryland,42718541,,38297637,12342856,20001304,4409919,4040399,851466,8346145,1003588,1349787,,3566579,2386898,,141728,,4279176,,44460798,9158679,35302119,23817187,2934049,5502970,1879014,1168899,5396813,,44460798,37813410,9158679,28654731,,,12145924,12121427,535929,2205886,2521117,,596171,1465250,540507,165902,1499984,,1168899,2846414,,1144418,,5502970,,26592571,,61394732
Massachusetts,61139906,,51975677,15060943,26973576,5803934,2470238,1213135,14491903,2227381,766985,,5024042,4917116,,840340,,8323889,,63221413,9379933,53841480,36705062,4702541,8371203,799065,3263609,6875969,,63221413,51341206,9379933,41961273,,,13192076,18790185,545674,1489881,2827045,,903465,1102746,419951,250829,1827954,,2907971,7083429,,3509004,,8371203,,75307661,,100232700
Michigan,68301496,,59727316,20487351,26957337,9211783,3912678,1563500,8825375,1185568,2258433,,8251972,4030656,,,1021890,7552290,,68674315,20487354,48186961,34688569,2011763,8764283,1226344,1496002,9221473,,68674315,59085103,20487354,38597749,,,24211552,18410125,3422936,1350074,2532511,,470963,1888248,322223,126274,1011686,,1496002,3842509,,0,824929,8764283,,33245109,,98389762
Minnesota,47407059,,40470072,11253891,24479856,5483791,4469620,1392055,10370047,1476629,1287714,,2542414,2193911,,101638,,6835349,,43406909,12827108,30579801,21679716,1923983,5310474,1091983,573645,5319902,,43406909,37734379,12827108,24907271,,,14305318,13108732,306356,489107,2974584,,438971,574822,717179,289419,1121595,,570730,2837566,,362056,,5310474,,15862174,,83315096
Mississippi,21333157,,18689989,8024835,7902885,3422774,1451003,606432,1783438,534547,104691,,2200149,562120,,,312934,2330234,,21139895,5138598,16001297,11539814,1376772,2526839,346575,211297,2519260,,21139895,18354508,5138598,13215910,,,5791535,6228236,1257672,358244,1327966,,162829,371359,331887,62572,488609,,211297,1762302,,2300,256248,2526839,,7470450,,33083013
Missouri,34610377,,28038945,10736241,11956143,3380034,1704177,547993,5856131,425776,42032,,2914544,2432017,,,,6571432,,32369704,5987018,26382686,18609732,1364116,5112644,520115,776079,3885344,,32369704,27257060,5987018,21270042,,,9534430,8399342,1795171,1740525,1470145,,232679,812003,295526,59137,526744,,776079,1615279,,0,,5112644,,19396172,,74950965
Montana,7487622,,6276612,2468165,2843465,0,603200,350769,1180478,168039,540979,,555676,409306,,,89312,1121698,,7452626,1395263,6057363,4194612,668114,951574,124557,118506,1078769,,7452626,6407150,1395263,5011887,,,1997896,1545178,55639,161969,761719,,57872,215181,215945,21897,433368,,118506,821980,,15432,78470,951574,,3206612,,18620346
Nebraska,11361675,,9958441,3033641,5086759,1787880,527950,172391,2239582,344477,14479,,1037248,800793,,,,1403234,,10850904,2303467,8547437,6377816,899819,1032616,182289,54897,1507297,,10850904,9818288,2303467,7514821,,,3611552,2626032,266109,532776,800388,,87628,349151,313905,47205,216806,,54897,911839,,0,,1032616,,1809126,,22137291
Nevada,16439338,,13070655,4147557,7532989,4080507,1958261,649333,0,0,844888,,734441,655668,,57018,,3311665,,14720817,4336630,10384187,6844988,644476,2356272,382970,155481,1594288,,14720817,12303598,4336630,7966968,,,4848437,3779343,252160,242291,620668,,97800,272391,99767,19201,291834,,153289,1626417,,60947,,2356272,,3351972,,37550057
New Hampshire,8021839,,6540301,2268800,2487737,0,970102,322667,96038,576679,522251,,896366,887398,,,631123,850415,,7093463,573048,6520415,4878497,392229,758269,158098,333322,1099336,,7093463,5831133,573048,5258085,,,1331713,2112515,54295,116812,505452,,63624,106824,73930,28555,259202,,333322,844889,,9027,495034,758269,,8211178,,14682474
New Jersey,69746902,,60668535,18015768,31567654,9146025,3805842,1553255,13250002,2579391,1233139,,6377825,4707288,,1054985,,8023382,,71392166,12470093,58922073,37993759,4618311,12753952,1459669,2096382,10158771,,71392166,55896836,12470093,43426743,,,17582765,18197283,2234169,1347935,3375749,,751594,1395260,509988,232369,1779841,,2094912,6394971,,2741378,,12753952,,67167455,,120903572
New Mexico,19339452,,17340442,7014832,6009443,2256088,739601,272008,1381254,249947,1110545,,1652525,2663642,,0,,1999010,,20045167,4871707,15173460,11204039,1220372,2195796,256039,297214,2482245,,20045167,17849371,4871707,12977664,,,5825058,5610951,1098722,508414,1041561,,147721,456801,219334,58584,605206,,297214,1979805,,0,,2195796,,6738313,,43852693
New York,203800058,,158998025,52796705,78205405,13104421,10828096,1764149,43713484,5084187,3711068,,9474471,18521444,,8673969,,36128064,,197961617,58063694,139897923,89297327,9412122,33335975,2098029,5754470,17438418,,197961617,151014059,58063694,92950365,,,42460614,58344171,4948173,8327753,5322067,,918892,3284138,473507,726422,5571777,,4221343,16415202,,13611583,,33335975,,137369589,,537876819
North Carolina,54804141,,49696937,16021278,25084225,6862578,3871281,1755328,11197650,1330223,67165,,5420907,3170527,,35,,5107169,,52505162,12771155,39734007,28894134,3413485,5770185,1081415,574788,7453576,,52505162,46590318,12771155,33819163,,,20020108,13318779,1846648,1132191,3719766,,676300,1207307,506529,184526,1525594,,574788,1877782,,144659,,5770185,,17514428,,115552345
North Dakota,9883423,,8800855,1677677,5736355,1389083,546733,225540,536131,186039,2852829,,783804,603019,,,,1082568,,8250787,2555780,5695007,3620856,1111740,712142,168609,81660,1063360,,8250787,7538645,2555780,4982865,,,2280535,1335551,61726,153008,1224581,,48088,91209,483695,33375,182708,,81660,1562509,,,,712142,,2063788,,24979559
Ohio,85140343,,65381404,24008999,28297156,11900176,5314229,2171231,8882973,2586,25961,,8593946,4481303,,,1079367,18679572,,83633665,17872592,65761073,41270907,4793963,16819899,1605740,1270564,7896831,,83633665,66057802,17872592,48185210,,,22348752,23877733,3754111,2373209,4015891,,325202,1702920,421134,117444,1862953,,1270564,3987889,,,755964,16819899,,33108954,,221647800
Oklahoma,24938838,,21572037,7169356,9303462,2682008,1350080,1055808,3252290,388530,574746,,2726030,2373189,,679827,,2686974,,24082769,4342470,19740299,13855899,2237971,2686786,502047,457596,3329089,,24082769,20519845,4342470,16177375,,,7749032,6502889,281280,908033,2101894,,230542,571220,277842,93079,723923,,383198,696913,,876138,,2686786,,8918175,,44158207
Oregon,35086418,,28163913,11033172,10577079,0,1498647,988932,7309115,621727,158658,,4433796,2119866,,743,544756,6377006,,32225881,6209293,26016588,18355472,1427051,5264467,571040,398558,3978523,,32225881,26665443,6209293,20456150,,,8292900,10039321,2130460,467328,1360696,,198401,775064,524247,94949,1343855,,398558,1039664,,28974,266997,5264467,,13061182,,83270290
Pennsylvania,90832375,,74731554,23065920,36110311,9865270,8504539,2222062,11488974,2510136,1519330,,10527926,5027397,,,1862270,14238551,,90487046,19407646,71079400,47566743,7365648,12451377,2261731,1433901,9896754,,90487046,76273410,19407646,56865764,,,24082835,24749412,4299969,3042955,7943181,,1037183,2061391,665218,320836,2996767,,1433901,3639762,,4,1762255,12451377,,47920479,,128274927
Rhode Island,8404265,,7364028,2466598,3196673,959513,661010,120832,1215368,176336,63614,,789919,910838,,24588,,1015649,,8676750,1226790,7449960,4942106,477367,1354270,157315,518902,1244150,,8676750,7172099,1226790,5945309,,,2052694,2672489,65951,170838,317439,,81869,191023,57629,34105,386131,,517866,624065,,150381,,1354270,,9004835,,16792015
South Carolina,29546888,,24695871,8443093,9620534,3568788,1322830,524285,3695701,410931,97999,,4760058,1872186,,1983216,,2867801,,30551977,5955882,24596095,18212302,1343951,3302627,1105484,631731,3877595,,30551977,25421341,5955882,19465459,,,9225130,7398432,1657101,1132870,1259028,,174707,510465,211338,111859,631923,,357902,2750586,,1828009,,3302627,,15122266,,40178972
South Dakota,4875457,,4169927,1498716,1674108,970784,401898,288796,0,4334,8296,,374044,623059,,,,705530,,4728349,784855,3943494,2612051,586595,548872,87888,108088,730433,,4728349,4179477,784855,3394622,,,1316817,1037395,23648,191962,605572,,45483,125983,209860,45255,183906,,108088,285508,,,,548872,,3346046,,16436064
Tennessee,30806454,,27632347,10568128,12698496,6548032,2648689,1502770,302196,1400973,295836,,2134527,2231196,,,,3174107,,31957529,7233618,24723911,18580912,1538331,3177122,1191350,236196,3853504,,31957529,28780407,7233618,21546789,,,10260470,11420314,409917,656123,1572450,,258724,941977,304603,90137,876655,,236196,1752841,,,,3177122,,6031121,,60822627
Texas,138700488,,124069849,43763868,55086438,33664187,13989995,3426885,0,0,4005371,,14251446,10968097,,,,14630639,,138442645,29951157,108491488,76985367,9310276,17934328,2673958,1587559,17556686,,138442645,120508317,29951157,90557160,,,52105317,35961689,6048942,2661393,8445801,,1013704,3848268,1214701,163302,2048722,,1587559,5408919,,0,,17934328,,48038004,,329246316
Utah,18625819,,15669987,4207318,6703356,1882901,883823,280021,3157718,368681,130212,,3709740,1049573,,0,334840,2620992,,17916963,3344201,14572762,10726625,1234984,1693244,680449,237460,3072948,,17916963,15983565,3344201,12639364,,,7371045,3245210,1442435,379151,905259,,138041,326545,174952,44056,617330,,237460,1102081,,0,240154,1693244,,7479978,,32765194
Vermont,6343741,,6026766,2107303,3043152,366667,659521,111527,709310,112643,1083484,,567874,308437,,,54320,262655,,6492441,1725060,4767381,3863473,267028,375570,151339,109971,886462,,6492441,6059341,1725060,4334281,,,2534073,1728547,18578,318421,501722,,103861,145536,105956,14513,158834,,109971,319329,,314,57216,375570,,3388764,,8138992
Virginia,51639540,,44076382,10135321,20536885,3793215,2701872,829279,11903945,817851,490723,,9338397,4065779,,0,703504,6859654,,51963071,12584936,39378135,27914528,3043353,5625552,1710096,1084606,7114831,,51963071,45717680,12584936,33132744,,,15864838,10608711,4447123,1432477,4553354,,575528,1752965,270814,122233,1415244,,1084606,3589787,,52022,567817,5625552,,28231613,,109224043
Washington,50247438,,41439483,13333590,20644454,12517831,3723403,1396989,0,0,3006231,,5027944,2433495,,0,0,8807955,,51144492,11019605,40124887,26853179,3224273,7006868,1625567,1415000,7461134,,51144492,43953957,11019605,32934352,,,17087813,11477978,2556697,2672952,2884151,,383449,1019288,1000159,138015,1148488,,1415000,2169967,,183667,0,7006868,,32231967,,103134515
West Virginia,14946301,,13634383,4654167,5565985,1293327,1325996,138918,1932457,188758,686529,,1618611,1795620,,2190,93951,1215777,,13529597,2344701,11184896,8497739,834658,1424382,246791,181326,1794044,,13529597,12026029,2344701,9681328,,,4154300,4393172,134596,309414,1065058,,76847,290060,243022,45737,447511,,181326,684986,,2780,76406,1424382,,7123763,,22054573
Wisconsin,42099660,,33475774,9440463,17019139,4892126,2754971,1026575,7069248,1032411,243808,,4056608,2959564,,,,8623886,,40314601,10387801,29926800,20485353,2159425,5701576,658214,922232,4288010,,40314601,34521749,10387801,24133948,,,11757644,10227923,1568137,674063,2509882,,125981,1141779,702500,29356,773075,,922232,4089177,,91276,,5701576,,22086615,,115173453
Wyoming,7266100,,6049727,2204470,2356323,811105,183745,153768,0,0,1207705,,210671,1278263,,,112634,1103739,,6411071,2097456,4313615,2937631,505756,761738,74100,34390,696646,,6411071,5551506,2097456,3454050,,,2010117,795434,3768,266654,543113,,45605,147041,372125,28567,339960,,34390,964732,,0,97827,761738,,834783,,30028125
